,Synthetic_PC3
2015-12-18,0.03734930880467906
2015-12-21,-0.003584073709432747
2015-12-22,-0.025884463101758102
2015-12-23,-0.019870733430260537
2015-12-24,0.011974239129920941
2015-12-25,0.0
2015-12-28,0.004472630628830032
2015-12-29,-0.054707632684033336
2015-12-30,0.006261821575080465
2015-12-31,0.027234673226535798
2016-01-01,0.0
2016-01-04,0.01769241648677443
2016-01-05,4.54856387374367e-05
2016-01-06,0.05172283968557703
2016-01-07,0.02221135792463199
2016-01-08,0.02563555802800631
2016-01-11,-0.014095823148269163
2016-01-12,0.026055974128873297
2016-01-13,0.028424416364085478
2016-01-14,-0.01055085343269913
2016-01-15,0.043889341604225286
2016-01-18,0.0
2016-01-19,-0.020746536665183765
2016-01-20,0.03609223041515981
2016-01-21,-0.00286445875164703
2016-01-22,-0.035593175201628746
2016-01-25,0.019583488821173795
2016-01-26,0.013375196913609303
2016-01-27,-0.008209375235886246
2016-01-28,-0.020058983505982925
2016-01-29,-0.047279049474857705
2016-02-01,0.031323053628950034
2016-02-02,-0.07308430990304476
2016-02-03,-0.0023835770813722353
2016-02-04,0.012546030592967123
2016-02-05,0.0026661601039467114
2016-02-08,0.07071426168269537
2016-02-09,0.007513993591963001
2016-02-10,-0.005816494105556321
2016-02-11,-0.037999540799238785
2016-02-12,0.07096050887767459
2016-02-15,0.0
2016-02-16,0.02430659181128263
2016-02-17,0.021876760694986345
2016-02-18,-0.03888017845908152
2016-02-19,0.01865225563023562
2016-02-22,0.007617229074426695
2016-02-23,-0.01689608381981561
2016-02-24,-0.008424711438907643
2016-02-25,-0.034437055804428116
2016-02-26,0.04758459644527108
2016-02-29,-0.009617779004339607
2016-03-01,0.06584610573034795
2016-03-02,0.0172630448675612
2016-03-03,-0.007145899948991563
2016-03-04,0.03607401920481597
2016-03-07,0.02659968407763624
2016-03-08,-0.056793413687797764
2016-03-09,0.03951947959885149
2016-03-10,0.035625443107544494
2016-03-11,0.029780289606098596
2016-03-14,-0.002110935233025422
2016-03-15,0.004692872343471476
2016-03-16,-0.047770774807536165
2016-03-17,-0.01589996280094507
2016-03-18,-0.029569709745446954
2016-03-21,0.02656157101260492
2016-03-22,0.022106552927931088
2016-03-23,-0.034675326599903536
2016-03-24,0.01469974491139091
2016-03-25,0.0
2016-03-28,-0.013404521724105459
2016-03-29,-0.047575552252680134
2016-03-30,-0.009064678732312424
2016-03-31,-0.03124329769745473
2016-04-01,0.014025376658746588
2016-04-04,-0.010476147973738059
2016-04-05,-0.030286829924866962
2016-04-06,0.018589703665672835
2016-04-07,-0.036268034236285954
2016-04-08,0.01286626419011258
2016-04-11,0.001986392347121027
2016-04-12,0.0347766446074587
2016-04-13,-0.005007264916710493
2016-04-14,0.021727518605006317
2016-04-15,-0.022755761725180013
2016-04-18,0.011911425766482422
2016-04-19,0.008855750478195073
2016-04-20,0.03591037386384134
2016-04-21,0.01747602507309232
2016-04-22,0.008831186014526158
2016-04-25,0.00770870396721092
2016-04-26,0.01420408160570681
2016-04-27,-0.04257524286688136
2016-04-28,-0.023072527229571364
2016-04-29,-0.001159241391695454
2016-05-02,0.02505157203992364
2016-05-03,-0.040195182118722105
